dominio,variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica
Sociodemográfico,SexoPaciente,SexoPaciente: F,Internação/hospitalização,5944,2204,225,3181,334,1.0285179363582382,0.8611922774529399,1.2283541934901006,0.7862867159567462,p=0.7863: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,SexoPaciente,SexoPaciente: F,Confirmação,5944,1375,1054,2120,1395,0.8584211986681465,0.7729328334424215,0.9533647976124573,0.004494897828990559,p=0.0045: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Gestante,Gestante: Não se aplica,Óbito por meningite,5944,307,4622,88,927,0.6996897250304867,0.5464077671608687,0.8959713619318012,0.005586856075698661,p=0.0056: diferença/associação estatisticamente significativa ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Gestante,Gestante: Não se aplica,Internação/hospitalização,5944,4472,457,913,102,1.0932386798037586,0.8719813841888352,1.370637989170925,0.44278796802808973,p=0.4428: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Gestante,Gestante: Não se aplica,Confirmação,5944,2911,2018,584,431,1.0645975603133442,0.9284816342486022,1.2206681571492062,0.38139548397906087,p=0.3814: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Gestante,Gestante: Não,Óbito por meningite,5944,79,800,316,4749,1.4840625,1.1469537957232487,1.9202530320913491,0.003318128847512793,p=0.0033: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.
Sociodemográfico,Gestante,Gestante: Não,Internação/hospitalização,5944,793,86,4592,473,0.9498040069686411,0.7457905099271277,1.209626080843848,0.6615896900035414,p=0.6616: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Gestante,Gestante: Não,Confirmação,5944,509,370,2986,2079,0.95781303741786,0.8284171272440046,1.1074201443657636,0.5777102757737747,p=0.5777: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.
Sociodemográfico,Gestante,Gestante: Ignorado,Óbito por meningite,5944,6,97,389,5452,0.8669334534757375,0.37767287553906775,1.9900121545202771,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Associação protetora discreta/moderada.
Sociodemográfico,Gestante,Gestante: Ignorado,Internação/hospitalização,5944,88,15,5297,544,0.6025045623308791,0.3460298135832433,1.049076505490749,0.08573224419456885,p=0.0857: não há evidência estatística suficiente ao nível de 5%.,Associação protetora de magnitude potencialmente relevante.
