codigo_municipio,ano,municipio_v17,regional_v17,casos_menor1ano,nascidos_vivos,incidencia_por_1000_nv,tem_denominador_sinasc
510710,2016,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
510710,2020,SAO JOSE DOS QUATRO MARCOS,CACERES,1,,,False
510718,2015,RIBEIRAO CASCALHEIRA,AGUA BOA,1,,,False
510718,2019,RIBEIRAO CASCALHEIRA,AGUA BOA,1,,,False
510718,2023,RIBEIRAO CASCALHEIRA,AGUA BOA,1,146.0,6.8493150684931505,True
510720,2022,RIO BRANCO,CACERES,1,,,False
510720,2023,RIO BRANCO,CACERES,2,56.0,35.714285714285715,True
510724,2024,SANTA CARMEM,SINOP,1,97.0,10.309278350515465,True
510726,2015,SANTO AFONSO,TANGARA DA SERRA,1,,,False
510730,2008,SAO JOSE DO RIO CLARO,DIAMANTINO,1,,,False
510730,2011,SAO JOSE DO RIO CLARO,DIAMANTINO,1,,,False
510730,2020,SAO JOSE DO RIO CLARO,DIAMANTINO,1,,,False
510730,2023,SAO JOSE DO RIO CLARO,DIAMANTINO,1,207.0,4.830917874396135,True
510730,2026,SAO JOSE DO RIO CLARO,DIAMANTINO,3,89.0,33.70786516853933,True
510735,2008,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,1,,,False
510735,2009,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,1,,,False
510735,2025,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,1,136.0,7.352941176470588,True
510735,2026,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,1,63.0,15.873015873015872,True
510740,2008,SAO PEDRO DA CIPA,RONDONOPOLIS,1,,,False
510740,2018,SAO PEDRO DA CIPA,RONDONOPOLIS,1,,,False
510760,2007,RONDONOPOLIS,RONDONOPOLIS,12,,,False
510760,2008,RONDONOPOLIS,RONDONOPOLIS,11,,,False
