familia,indicador,escopo,recorte,valor,numerador,denominador,unidade,gerado_em
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2009,44.89164086687307,145.0,323,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2009,59.44272445820433,192.0,323,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2009,2.0,,323,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2009,9.0,,323,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2010,42.96875,110.0,256,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2010,58.59375,150.0,256,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2010,2.0,,256,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2010,10.0,,256,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2011,38.18770226537217,118.0,309,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2011,56.957928802588995,176.0,309,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2011,2.0,,309,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2011,10.0,,309,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2012,37.45704467353952,109.0,291,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2012,58.76288659793815,171.0,291,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2012,2.0,,291,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2012,8.0,,291,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2013,42.66211604095563,125.0,293,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2013,58.703071672354945,172.0,293,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2013,2.0,,293,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2013,9.0,,293,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2014,42.54545454545455,117.0,275,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2014,57.45454545454546,158.0,275,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2014,2.0,,275,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2014,9.0,,275,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2015,38.63636363636363,85.0,220,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2015,52.27272727272727,115.0,220,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2015,2.0,,220,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2015,12.0,,220,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2016,44.6078431372549,91.0,204,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2016,54.41176470588235,111.0,204,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2016,2.0,,204,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2016,13.0,,204,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2017,37.05179282868526,93.0,251,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2017,55.77689243027888,140.0,251,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2017,2.0,,251,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2017,14.0,,251,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2018,36.36363636363637,84.0,231,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2018,52.38095238095239,121.0,231,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2018,2.0,,231,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2018,12.0,,231,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2019,35.233160621761655,68.0,193,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2019,52.331606217616574,101.0,193,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2019,2.0,,193,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2019,9.0,,193,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2020,38.297872340425535,36.0,94,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2020,46.808510638297875,44.0,94,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2020,3.0,,94,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2020,23.70000000000003,,94,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_1d,ANO,2021,29.333333333333332,22.0,75,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,pct_coleta_le_2d,ANO,2021,38.666666666666664,29.0,75,%,2026-07-29T12:37:49
oportunidade_coleta_liquor,p50_coleta_dias,ANO,2021,4.0,,75,dias,2026-07-29T12:37:49
oportunidade_coleta_liquor,p90_coleta_dias,ANO,2021,20.60000000000001,,75,dias,2026-07-29T12:37:49
