ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,classificacao_agrupada_v17,casos,confirmados,hospitalizacoes,obitos_meningite,populacao,incidencia_100mil,mortalidade_100mil,letalidade_confirmados
2007,510675,PONTES E LACERDA,PONTES E LACERDA,Outras etiologias,1,1,1,1,,,,100.0
2007,510682,PORTO ESPERIDIAO,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2007,510685,PORTO ESTRELA,TANGARA DA SERRA,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510700,POXOREO,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite não especificada,1,1,1,0,,,,0.0
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510704,PRIMAVERA DO LESTE,RONDONOPOLIS,Outras etiologias,1,0,1,0,,,,
2007,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,Meningite não especificada,1,1,1,0,,,,0.0
2007,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,Outras etiologias,1,0,0,0,,,,
2007,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Meningite bacteriana/outras bactérias,1,1,1,0,,,,0.0
2007,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Meningite não especificada,1,1,1,0,,,,0.0
2007,510730,SAO JOSE DO RIO CLARO,DIAMANTINO,Outras etiologias,2,1,1,0,,,,0.0
2007,510740,SAO PEDRO DA CIPA,RONDONOPOLIS,Meningite viral/asséptica,1,1,1,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Doença meningocócica,1,1,1,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite bacteriana/outras bactérias,2,2,2,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite não especificada,20,20,20,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite pneumocócica,1,1,1,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Meningite viral/asséptica,41,41,40,0,,,,0.0
2007,510760,RONDONOPOLIS,RONDONOPOLIS,Outras etiologias,7,1,5,1,,,,100.0
2007,510770,ROSARIO OESTE,DIAMANTINO,Meningite não especificada,1,1,1,1,,,,100.0
2007,510770,ROSARIO OESTE,DIAMANTINO,Outras etiologias,1,0,1,0,,,,
2007,510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,Meningite não especificada,1,1,1,0,,,,0.0
2007,510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,Outras etiologias,1,0,1,0,,,,
2007,510780,SANTO ANTONIO DO LEVERGER,CUIABA,Meningite fúngica,1,1,1,0,,,,0.0
