codigo_municipio_v17,municipio_v17,regional_v17,dm_lab_90d,dm_90d,pct_sorogrupo_dm_90d,pct_quimio_dm_90d,incidencia_dm_90d_100mil,score_risco_nt154_v25,score_risco_nt97_v25,prioridade,norma
510619,NOVA SANTA HELENA,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510620,NOVA BRASILANDIA,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510621,NOVA CANAA DO NORTE,COLIDER,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510622,NOVA MUTUM,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510623,NOVA OLIMPIA,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510624,NOVA UBIRATA,SINOP,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510625,NOVA XAVANTINA,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510626,NOVO MUNDO,PEIXOTO DE AZEVEDO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510627,NOVO HORIZONTE DO NORTE,JUARA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510628,NOVO SAO JOAQUIM,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510629,PARANAITA,ALTA FLORESTA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510630,PARANATINGA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510631,NOVO SANTO ANTONIO,SAO FELIX DO ARAGUAIA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510637,PEDRA PRETA,RONDONOPOLIS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510642,PEIXOTO DE AZEVEDO,PEIXOTO DE AZEVEDO,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510645,PLANALTO DA SERRA,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510650,POCONE,CUIABA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510670,PONTE BRANCA,BARRA DO GARCAS,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510675,PONTES E LACERDA,PONTES E LACERDA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510677,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510680,PORTO DOS GAUCHOS,JUARA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510682,PORTO ESPERIDIAO,CACERES,0,0,,,,0.0,0.0,Baixa,NT 154/2024
510685,PORTO ESTRELA,TANGARA DA SERRA,0,0,,,,0.0,0.0,Baixa,NT 154/2024
