codigo_municipio_v17,municipio_v17,regional_v17,total_notificacoes,pct_confirmacao_laboratorial_pcr_cultura,pct_investigados_48h,pct_encerrados_60d,pct_quimioprofilaxia_dm_48h,dm_casos,quimioprofilaxia_indevida_n
510670,PONTE BRANCA,BARRA DO GARCAS,1,100.0,100.0,100.0,,0,0
510675,PONTES E LACERDA,PONTES E LACERDA,94,33.33333333333333,94.68085106382979,85.1063829787234,100.0,2,1
510677,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,3,0.0,100.0,100.0,100.0,1,0
510680,PORTO DOS GAUCHOS,JUARA,5,100.0,40.0,40.0,,0,0
510682,PORTO ESPERIDIAO,CACERES,16,80.0,93.75,87.5,50.0,2,1
510685,PORTO ESTRELA,TANGARA DA SERRA,6,,100.0,50.0,,0,0
510700,POXOREO,RONDONOPOLIS,25,88.88888888888889,92.0,80.0,50.0,2,0
510704,PRIMAVERA DO LESTE,RONDONOPOLIS,99,83.33333333333334,93.93939393939394,93.93939393939394,60.0,5,1
510706,QUERENCIA,AGUA BOA,12,0.0,83.33333333333334,50.0,0.0,1,0
510710,SAO JOSE DOS QUATRO MARCOS,CACERES,19,0.0,100.0,84.21052631578947,,0,0
510715,RESERVA DO CABACAL,CACERES,3,50.0,100.0,66.66666666666666,,0,0
510718,RIBEIRAO CASCALHEIRA,AGUA BOA,8,,87.5,87.5,,0,0
510719,RIBEIRAOZINHO,BARRA DO GARCAS,1,,100.0,100.0,,0,0
510720,RIO BRANCO,CACERES,6,,100.0,83.33333333333334,,0,0
510724,SANTA CARMEM,SINOP,14,33.33333333333333,92.85714285714286,78.57142857142857,0.0,1,0
510726,SANTO AFONSO,TANGARA DA SERRA,4,0.0,100.0,50.0,0.0,1,0
510729,SAO JOSE DO POVO,RONDONOPOLIS,5,75.0,100.0,80.0,100.0,1,0
510730,SAO JOSE DO RIO CLARO,DIAMANTINO,21,20.0,100.0,85.71428571428571,0.0,1,0
510735,SAO JOSE DO XINGU,PORTO ALEGRE DO NORTE,7,,85.71428571428571,42.857142857142854,,0,0
510740,SAO PEDRO DA CIPA,RONDONOPOLIS,11,33.33333333333333,81.81818181818183,63.63636363636363,100.0,1,0
510760,RONDONOPOLIS,RONDONOPOLIS,485,59.63302752293578,97.31958762886597,91.54639175257732,50.0,16,1
510770,ROSARIO OESTE,DIAMANTINO,16,0.0,87.5,87.5,,0,0
510774,SANTA CRUZ DO XINGU,PORTO ALEGRE DO NORTE,2,,50.0,50.0,,0,0
510775,SALTO DO CEU,CACERES,1,100.0,100.0,100.0,,0,0
510776,SANTA RITA DO TRIVELATO,SINOP,1,,100.0,100.0,,0,0
510777,SANTA TEREZINHA,PORTO ALEGRE DO NORTE,3,,66.66666666666666,66.66666666666666,,0,0
510779,SANTO ANTONIO DO LESTE,RONDONOPOLIS,2,,100.0,100.0,,0,0
510780,SANTO ANTONIO DO LEVERGER,CUIABA,42,40.0,88.09523809523809,73.80952380952381,0.0,1,0
510785,SAO FELIX DO ARAGUAIA,SAO FELIX DO ARAGUAIA,4,,75.0,0.0,,0,0
510787,SAPEZAL,TANGARA DA SERRA,51,20.0,90.19607843137256,54.90196078431373,50.0,2,0
510788,SERRA NOVA DOURADA,SAO FELIX DO ARAGUAIA,1,,100.0,100.0,,0,0
510790,SINOP,SINOP,479,47.368421052631575,97.7035490605428,86.63883089770354,58.333333333333336,24,8
510792,SORRISO,SINOP,132,34.883720930232556,99.24242424242425,95.45454545454545,55.00000000000001,20,1
510794,TABAPORA,JUARA,5,0.0,100.0,40.0,,0,0
510795,TANGARA DA SERRA,TANGARA DA SERRA,170,41.66666666666667,97.05882352941177,47.05882352941176,100.0,3,2
510800,TAPURAH,SINOP,15,50.0,100.0,100.0,66.66666666666666,3,0
510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,10,0.0,90.0,60.0,0.0,1,0
510810,TESOURO,RONDONOPOLIS,4,,100.0,75.0,,0,0
510820,TORIXOREU,BARRA DO GARCAS,3,,100.0,100.0,,0,0
510830,UNIAO DO SUL,SINOP,3,0.0,100.0,66.66666666666666,100.0,1,0
510835,VALE DE SAO DOMINGOS,PONTES E LACERDA,3,,100.0,66.66666666666666,,0,0
510840,VARZEA GRANDE,CUIABA,686,38.04347826086957,89.94169096209913,86.15160349854227,50.0,24,6
510850,VERA,SINOP,18,20.0,100.0,83.33333333333334,33.33333333333333,3,0
510860,VILA RICA,PORTO ALEGRE DO NORTE,17,50.0,82.35294117647058,70.58823529411765,100.0,1,1
510880,NOVA GUARITA,COLIDER,3,,66.66666666666666,66.66666666666666,,0,0
510885,NOVA MARILANDIA,TANGARA DA SERRA,5,100.0,80.0,80.0,,0,1
510890,NOVA MARINGA,DIAMANTINO,6,0.0,50.0,50.0,100.0,1,0
510895,NOVA MONTE VERDE,ALTA FLORESTA,11,,90.9090909090909,81.81818181818183,,0,0
