variavel,exposicao,desfecho,n_analisado,eventos_expostos,nao_eventos_expostos,eventos_nao_expostos,nao_eventos_nao_expostos,or,ic95_inferior,ic95_superior,p_value,interpretacao_estatistica,relevancia_pratica,grupo_analise
DoencasPreexistentesIRA_bin_v17,DoencasPreexistentesIRA,Hospitalização,4677,94,1,4426,156,3.3131495707184815,0.4588842644279276,23.9209773114286,0.37822745627473414,p=0.3782: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesTuberculose_bin_v17,DoencasPreexistentesTuberculose,Hospitalização,4656,90,2,4410,154,1.5714285714285714,0.38349039578910693,6.439242761271217,0.770268416593255,p=0.7703: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesTraumatismo_bin_v17,DoencasPreexistentesTraumatismo,Hospitalização,4724,181,4,4387,152,1.5678139958969683,0.5745334139928978,4.27832509974921,0.5271401115692158,p=0.5271: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesInfeccaoHospitalar_bin_v17,DoencasPreexistentesInfeccaoHospitalar,Hospitalização,4688,56,1,4475,156,1.9521787709497207,0.26849854091827147,14.193752937029165,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
DoencasPreexistentesOutras_bin_v17,DoencasPreexistentesOutras,Hospitalização,4302,705,24,3456,117,0.9944661458333334,0.6362521330106036,1.5543569347721509,1.0,p=1.0000: não há evidência estatística suficiente ao nível de 5%.,Efeito prático pequeno ou próximo da nulidade.,Comorbidades/sinais/sintomas
SinaisESintomasCefaleia_bin_v17,SinaisESintomasCefaleia,Hospitalização,5098,3674,115,1251,58,1.4811941750947069,1.0732985207149686,2.0441062220723247,0.02096286991190946,p=0.0210: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasFebre_bin_v17,SinaisESintomasFebre,Hospitalização,5395,4187,132,1020,56,1.7414735591206179,1.264595408408017,2.3981821671597694,0.0010702072489494013,p=0.0011: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasVomitos_bin_v17,SinaisESintomasVomitos,Hospitalização,5315,3376,98,1757,84,1.6469631677372145,1.223665801435378,2.216689943202803,0.0011213895842977551,p=0.0011: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
SinaisESintomasConvulsoes_bin_v17,SinaisESintomasConvulsoes,Hospitalização,5190,1252,37,3763,138,1.2409305398941328,0.8584846167552455,1.7937521241350012,0.28545444371367223,p=0.2855: não há evidência estatística suficiente ao nível de 5%.,Aumento moderado da chance do desfecho.,Comorbidades/sinais/sintomas
SinaisESintomasRigidezNuca_bin_v17,SinaisESintomasRigidezNuca,Hospitalização,5167,2350,66,2636,115,1.5533751781854968,1.1418970814842966,2.113127779489825,0.004943572910852788,p=0.0049: diferença/associação estatisticamente significativa ao nível de 5%.,Aumento expressivo da chance do desfecho; priorizar investigação.,Comorbidades/sinais/sintomas
