semana_epi_v17,classificacao_agrupada_v17,minimo,q25,media,mediana,q75,maximo,p95,observado,ano_observado
19,Doença meningocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
19,Meningite bacteriana/outras bactérias,1,1.0,1.3333333333333333,1.0,2.0,2,2.0,0.0,2026
19,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
19,Meningite não especificada,1,1.0,1.5384615384615385,1.0,2.0,3,3.0,1.0,2026
19,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
19,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2026
19,Meningite viral/asséptica,1,1.0,1.8461538461538463,1.0,2.0,7,3.999999999999993,2.0,2026
19,Outras etiologias,1,1.75,2.8125,3.0,3.25,6,5.25,8.0,2026
20,Doença meningocócica,1,1.0,1.5714285714285714,1.0,2.0,3,2.6999999999999993,1.0,2026
20,Meningite bacteriana/outras bactérias,1,1.0,1.2222222222222223,1.0,1.0,2,2.0,0.0,2026
20,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
20,Meningite não especificada,1,1.25,2.0,2.0,2.0,4,3.549999999999999,1.0,2026
20,Meningite pneumocócica,1,1.0,1.4,1.0,1.0,3,2.5999999999999996,0.0,2026
20,Meningite tuberculosa,1,1.25,1.5,1.5,1.75,2,1.95,0.0,2026
20,Meningite viral/asséptica,1,1.0,1.9,1.5,3.0,3,3.0,0.0,2026
20,Outras etiologias,1,1.0,2.8666666666666667,2.0,4.0,7,6.299999999999999,2.0,2026
21,Doença meningocócica,1,1.5,1.6666666666666667,2.0,2.0,2,2.0,0.0,2026
21,Meningite bacteriana/outras bactérias,1,1.0,1.3,1.0,1.0,3,2.549999999999999,0.0,2026
21,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
21,Meningite não especificada,1,1.0,2.0,2.0,2.0,4,4.0,2.0,2026
21,Meningite pneumocócica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
21,Meningite por Hib/Hemófilo,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
21,Meningite tuberculosa,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
21,Meningite viral/asséptica,1,1.0,1.75,2.0,2.0,3,2.6499999999999995,1.0,2026
21,Outras etiologias,1,1.0,2.9375,2.5,3.25,8,7.25,3.0,2026
22,Doença meningocócica,1,1.0,1.2,1.0,1.0,2,1.7999999999999998,0.0,2026
22,Meningite bacteriana/outras bactérias,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2026
22,Meningite fúngica,1,1.0,1.0,1.0,1.0,1,1.0,0.0,2026
22,Meningite não especificada,1,1.0,1.7777777777777777,2.0,2.0,3,3.0,1.0,2026
