ano_evento_v17,classificacao_agrupada_v17,faixa_informe_v23,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2008,Outras etiologias,15 a 19 anos,3,3,1,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.042835816739808824,33.33333333333333
2008,Outras etiologias,20 a 29 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2008,Outras etiologias,30 a 39 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2008,Outras etiologias,5 a 9 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Doença meningocócica,1 a 4 anos,6,6,3,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.12850745021942647,50.0
2009,Doença meningocócica,10 a 14 anos,3,3,1,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.042835816739808824,33.33333333333333
2009,Doença meningocócica,15 a 19 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Doença meningocócica,20 a 29 anos,1,1,1,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.042835816739808824,100.0
2009,Doença meningocócica,30 a 39 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Doença meningocócica,5 a 9 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Doença meningocócica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Doença meningocócica,< 1 ano,6,6,1,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.042835816739808824,16.666666666666664
2009,Meningite bacteriana/outras bactérias,1 a 4 anos,7,7,3,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.12850745021942647,42.857142857142854
2009,Meningite bacteriana/outras bactérias,10 a 14 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2009,Meningite bacteriana/outras bactérias,15 a 19 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite bacteriana/outras bactérias,20 a 29 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite bacteriana/outras bactérias,30 a 39 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2009,Meningite bacteriana/outras bactérias,40 a 49 anos,7,7,1,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.042835816739808824,14.285714285714285
2009,Meningite bacteriana/outras bactérias,5 a 9 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2009,Meningite bacteriana/outras bactérias,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite bacteriana/outras bactérias,< 1 ano,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2009,Meningite bacteriana/outras bactérias,> 60 anos,4,4,1,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.042835816739808824,25.0
2009,Meningite fúngica,30 a 39 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite fúngica,40 a 49 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2009,Meningite fúngica,5 a 9 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite fúngica,50 a 59 anos,1,1,1,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.042835816739808824,100.0
2009,Meningite não especificada,1 a 4 anos,17,17,1,2334495.0,municipal_soma_com_carry,2334495.0,0.72820888457675,0.042835816739808824,5.88235294117647
2009,Meningite não especificada,10 a 14 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2009,Meningite não especificada,15 a 19 anos,7,7,1,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.042835816739808824,14.285714285714285
2009,Meningite não especificada,20 a 29 anos,6,6,0,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.0,0.0
2009,Meningite não especificada,30 a 39 anos,8,8,1,2334495.0,municipal_soma_com_carry,2334495.0,0.3426865339184706,0.042835816739808824,12.5
2009,Meningite não especificada,40 a 49 anos,5,5,1,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.042835816739808824,20.0
2009,Meningite não especificada,5 a 9 anos,8,8,0,2334495.0,municipal_soma_com_carry,2334495.0,0.3426865339184706,0.0,0.0
2009,Meningite não especificada,50 a 59 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite não especificada,< 1 ano,19,19,1,2334495.0,municipal_soma_com_carry,2334495.0,0.8138805180563676,0.042835816739808824,5.263157894736842
2009,Meningite não especificada,> 60 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite pneumocócica,1 a 4 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite pneumocócica,15 a 19 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite pneumocócica,20 a 29 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite pneumocócica,40 a 49 anos,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2009,Meningite pneumocócica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite pneumocócica,< 1 ano,6,6,2,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.08567163347961765,33.33333333333333
2009,Meningite tuberculosa,40 a 49 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite viral/asséptica,1 a 4 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2009,Meningite viral/asséptica,10 a 14 anos,5,5,1,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.042835816739808824,20.0
2009,Meningite viral/asséptica,15 a 19 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Meningite viral/asséptica,20 a 29 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2009,Meningite viral/asséptica,30 a 39 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2009,Meningite viral/asséptica,40 a 49 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2009,Meningite viral/asséptica,5 a 9 anos,8,8,1,2334495.0,municipal_soma_com_carry,2334495.0,0.3426865339184706,0.042835816739808824,12.5
2009,Meningite viral/asséptica,< 1 ano,13,13,0,2334495.0,municipal_soma_com_carry,2334495.0,0.5568656176175147,0.0,0.0
2009,Meningite viral/asséptica,> 60 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2009,Outras etiologias,1 a 4 anos,4,4,2,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.08567163347961765,50.0
2009,Outras etiologias,30 a 39 anos,6,6,0,2334495.0,municipal_soma_com_carry,2334495.0,0.25701490043885294,0.0,0.0
2009,Outras etiologias,40 a 49 anos,2,2,2,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.08567163347961765,100.0
2009,Outras etiologias,5 a 9 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2009,Outras etiologias,< 1 ano,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2010,Doença meningocócica,1 a 4 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2010,Doença meningocócica,10 a 14 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2010,Doença meningocócica,15 a 19 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2010,Doença meningocócica,20 a 29 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Doença meningocócica,30 a 39 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Doença meningocócica,40 a 49 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Doença meningocócica,5 a 9 anos,5,5,1,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.042835816739808824,20.0
2010,Doença meningocócica,50 a 59 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2010,Doença meningocócica,< 1 ano,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2010,Doença meningocócica,> 60 anos,2,2,2,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.08567163347961765,100.0
2010,Meningite bacteriana/outras bactérias,1 a 4 anos,2,2,1,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.042835816739808824,50.0
2010,Meningite bacteriana/outras bactérias,10 a 14 anos,5,5,0,2334495.0,municipal_soma_com_carry,2334495.0,0.21417908369904412,0.0,0.0
2010,Meningite bacteriana/outras bactérias,15 a 19 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Meningite bacteriana/outras bactérias,20 a 29 anos,4,4,0,2334495.0,municipal_soma_com_carry,2334495.0,0.1713432669592353,0.0,0.0
2010,Meningite bacteriana/outras bactérias,30 a 39 anos,1,1,0,2334495.0,municipal_soma_com_carry,2334495.0,0.042835816739808824,0.0,0.0
2010,Meningite bacteriana/outras bactérias,40 a 49 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Meningite bacteriana/outras bactérias,5 a 9 anos,3,3,0,2334495.0,municipal_soma_com_carry,2334495.0,0.12850745021942647,0.0,0.0
2010,Meningite bacteriana/outras bactérias,50 a 59 anos,2,2,0,2334495.0,municipal_soma_com_carry,2334495.0,0.08567163347961765,0.0,0.0
2010,Meningite bacteriana/outras bactérias,< 1 ano,7,7,0,2334495.0,municipal_soma_com_carry,2334495.0,0.29985071717866174,0.0,0.0
