ano_evento_v17,codigo_municipio_v17,municipio_v17,regional_v17,casos,confirmados,obitos_meningite,populacao_estado,populacao_origem,populacao_municipio,populacao_ref,incidencia_100mil,mortalidade_100mil,letalidade_pct
2018,510710,SAO JOSE DOS QUATRO MARCOS,CACERES,1,1,1,2334495.0,municipal_soma_com_carry,18846.0,18846.0,5.306165764618487,5.306165764618487,100.0
2018,510740,SAO PEDRO DA CIPA,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,4191.0,4191.0,23.860653781913623,0.0,0.0
2018,510760,RONDONOPOLIS,RONDONOPOLIS,16,16,3,2334495.0,municipal_soma_com_carry,236042.0,236042.0,6.778454681793918,1.2709602528363595,18.75
2018,510787,SAPEZAL,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,26688.0,26688.0,3.7470023980815346,0.0,0.0
2018,510790,SINOP,SINOP,16,16,2,2334495.0,municipal_soma_com_carry,148960.0,148960.0,10.741138560687434,1.3426423200859292,12.5
2018,510792,SORRISO,SINOP,4,4,0,2334495.0,municipal_soma_com_carry,92769.0,92769.0,4.31178518686199,0.0,0.0
2018,510795,TANGARA DA SERRA,TANGARA DA SERRA,3,3,0,2334495.0,municipal_soma_com_carry,105711.0,105711.0,2.8379260436473026,0.0,0.0
2018,510805,TERRA NOVA DO NORTE,PEIXOTO DE AZEVEDO,1,1,0,2334495.0,municipal_soma_com_carry,9473.0,9473.0,10.556317956296844,0.0,0.0
2018,510840,VARZEA GRANDE,CUIABA,18,18,2,2334495.0,municipal_soma_com_carry,287526.0,287526.0,6.260303416038898,0.6955892684487663,11.11111111111111
2018,510850,VERA,SINOP,2,2,0,2334495.0,municipal_soma_com_carry,10584.0,10584.0,18.89644746787604,0.0,0.0
2019,510020,AGUA BOA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,26204.0,26204.0,3.816211265455656,0.0,0.0
2019,510025,ALTA FLORESTA,ALTA FLORESTA,1,1,0,2334495.0,municipal_soma_com_carry,51959.0,51959.0,1.9245943917319426,0.0,0.0
2019,510040,ALTO GARCAS,RONDONOPOLIS,1,1,0,2334495.0,municipal_soma_com_carry,13707.0,13707.0,7.295542423579193,0.0,0.0
2019,510050,ALTO PARAGUAI,DIAMANTINO,1,1,0,2334495.0,municipal_soma_com_carry,8009.0,8009.0,12.48595330253465,0.0,0.0
2019,510125,ARAPUTANGA,CACERES,1,1,1,2334495.0,municipal_soma_com_carry,16951.0,16951.0,5.89935697009026,5.89935697009026,100.0
2019,510130,ARENAPOLIS,TANGARA DA SERRA,1,1,1,2334495.0,municipal_soma_com_carry,10576.0,10576.0,9.4553706505295,9.4553706505295,100.0
2019,510170,BARRA DO BUGRES,TANGARA DA SERRA,2,2,0,2334495.0,municipal_soma_com_carry,35307.0,35307.0,5.664599087999547,0.0,0.0
2019,510180,BARRA DO GARCAS,BARRA DO GARCAS,9,9,2,2334495.0,municipal_soma_com_carry,61135.0,61135.0,14.72151795207328,3.2714484337940624,22.22222222222222
2019,510185,BOM JESUS DO ARAGUAIA,AGUA BOA,1,1,0,2334495.0,municipal_soma_com_carry,7543.0,7543.0,13.257324671881214,0.0,0.0
2019,510250,CACERES,CACERES,1,1,0,2334495.0,municipal_soma_com_carry,95339.0,95339.0,1.0488887024197862,0.0,0.0
2019,510260,CAMPINAPOLIS,BARRA DO GARCAS,2,2,0,2334495.0,municipal_soma_com_carry,15347.0,15347.0,13.031862904802242,0.0,0.0
2019,510267,CAMPO VERDE,RONDONOPOLIS,4,4,1,2334495.0,municipal_soma_com_carry,45740.0,45740.0,8.745080891998251,2.1862702229995628,25.0
2019,510300,CHAPADA DOS GUIMARAES,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,19453.0,19453.0,5.140595280933533,0.0,0.0
2019,510320,COLIDER,COLIDER,1,1,0,2334495.0,municipal_soma_com_carry,33855.0,33855.0,2.9537734455767244,0.0,0.0
2019,510340,CUIABA,CUIABA,36,36,5,2334495.0,municipal_soma_com_carry,618124.0,618124.0,5.824074133992532,0.8088991852767407,13.88888888888889
2019,510350,DIAMANTINO,DIAMANTINO,1,1,0,2334495.0,municipal_soma_com_carry,22178.0,22178.0,4.508972855983408,0.0,0.0
2019,510380,FIGUEIROPOLIS D OESTE,PONTES E LACERDA,1,1,0,2334495.0,municipal_soma_com_carry,7782.0,7782.0,12.85016705217168,0.0,0.0
2019,510410,GUARANTA DO NORTE,PEIXOTO DE AZEVEDO,8,8,0,2334495.0,municipal_soma_com_carry,36130.0,36130.0,22.142264046498756,0.0,0.0
2019,510420,GUIRATINGA,RONDONOPOLIS,2,2,0,2334495.0,municipal_soma_com_carry,15245.0,15245.0,13.119055428009185,0.0,0.0
2019,510452,IPIRANGA DO NORTE,SINOP,1,1,1,2334495.0,municipal_soma_com_carry,6885.0,6885.0,14.524328249818446,14.524328249818446,100.0
2019,510515,JUINA,JUINA,1,1,1,2334495.0,municipal_soma_com_carry,41101.0,41101.0,2.433030826500572,2.433030826500572,100.0
2019,510558,MARCELANDIA,COLIDER,1,1,0,2334495.0,municipal_soma_com_carry,10107.0,10107.0,9.894132779261898,0.0,0.0
2019,510560,MATUPA,PEIXOTO DE AZEVEDO,1,1,0,2334495.0,municipal_soma_com_carry,20853.0,20853.0,4.795473073418693,0.0,0.0
2019,510562,MIRASSOL D OESTE,CACERES,2,2,0,2334495.0,municipal_soma_com_carry,27941.0,27941.0,7.157939944883863,0.0,0.0
2019,510610,NOSSA SENHORA DO LIVRAMENTO,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,11694.0,11694.0,8.551393877201985,0.0,0.0
2019,510620,NOVA BRASILANDIA,CUIABA,1,1,1,2334495.0,municipal_soma_com_carry,3791.0,3791.0,26.37826431020839,26.37826431020839,100.0
2019,510622,NOVA MUTUM,SINOP,1,1,0,2334495.0,municipal_soma_com_carry,46813.0,46813.0,2.1361587593189926,0.0,0.0
2019,510623,NOVA OLIMPIA,TANGARA DA SERRA,1,1,0,2334495.0,municipal_soma_com_carry,20563.0,20563.0,4.863103632738413,0.0,0.0
2019,510650,POCONE,CUIABA,1,1,0,2334495.0,municipal_soma_com_carry,31217.0,31217.0,3.2033827722074513,0.0,0.0
2019,510665,PONTAL DO ARAGUAIA,BARRA DO GARCAS,1,1,0,2334495.0,municipal_soma_com_carry,7169.0,7169.0,13.948946854512483,0.0,0.0
2019,510675,PONTES E LACERDA,PONTES E LACERDA,2,2,0,2334495.0,municipal_soma_com_carry,45774.0,45774.0,4.369292611526194,0.0,0.0
2019,510677,PORTO ALEGRE DO NORTE,PORTO ALEGRE DO NORTE,1,1,0,2334495.0,municipal_soma_com_carry,12420.0,12420.0,8.051529790660226,0.0,0.0
