estrato,horizonte_se,ano_epi_v17,semana_epi_v17,periodo,pred,lower_80,upper_80,modelo_ma4,modelo_ma8,modelo_sazonal_52,modelo_tendencia
REGIONAL::COLIDER,4,2026,35,2026-S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,5,2026,36,2026-S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,6,2026,37,2026-S37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,7,2026,38,2026-S38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::COLIDER,8,2026,39,2026-S39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::CUIABA,1,2026,32,2026-S32,1.1577401421366345,0.0,3.8145064555154513,0.0,0.6309605685465383,4.0,0.0
REGIONAL::CUIABA,2,2026,33,2026-S33,0.5842349708180496,0.0,1.5145369297364226,0.2894350355341586,0.27567808631361757,1.0,0.7718267614244226
REGIONAL::CUIABA,3,2026,34,2026-S34,0.6784924873617517,0.0,1.5327188756723613,0.435493778238671,0.3487074576658738,1.0,0.9297687135424624
REGIONAL::CUIABA,4,2026,35,2026-S35,0.9853443414945058,0.0,2.290160836485793,0.605116900079109,0.3025584500395545,2.0,1.0337020158593595
REGIONAL::CUIABA,5,2026,36,2026-S36,1.370921050409545,0.0,3.0442751213032695,0.8514529854527355,0.4257264927263677,3.0,1.2065047234590764
REGIONAL::CUIABA,6,2026,37,2026-S37,0.9852823846462773,0.39917106340404085,1.5713937058885137,0.904748212520963,0.5970916240275609,1.0,1.439289702036585
REGIONAL::CUIABA,7,2026,38,2026-S38,2.7165150036940933,0.0,6.82407092122174,1.00501006597802,0.7202519221083454,8.0,1.140798026690006
REGIONAL::CUIABA,8,2026,39,2026-S39,1.247799588887533,0.0,2.662448454721857,1.5145156950611054,1.0598162975701073,0.0,2.41686636291892
REGIONAL::DIAMANTINO,1,2026,32,2026-S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,2,2026,33,2026-S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,3,2026,34,2026-S34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,4,2026,35,2026-S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,5,2026,36,2026-S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,6,2026,37,2026-S37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,7,2026,38,2026-S38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::DIAMANTINO,8,2026,39,2026-S39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REGIONAL::JUARA,1,2026,32,2026-S32,0.0,0.0,0.14310835055998652,0.0,0.0,0.0,0.0
