ano_dose_v34,regional_v34,imuno_grupo_v34,n_doses
2021,PEIXOTO DE AZEVEDO,MenACWY,2
2021,PEIXOTO DE AZEVEDO,MenC,1
2021,PONTES E LACERDA,Hib,2306
2021,PONTES E LACERDA,Meningocócica (outra),1699
2021,PONTES E LACERDA,Penta/Hexa (Hib),1039
2021,PONTES E LACERDA,MenACWY,8
2021,PORTO ALEGRE DO NORTE,Hib,1681
2021,PORTO ALEGRE DO NORTE,Meningocócica (outra),1662
2021,PORTO ALEGRE DO NORTE,Penta/Hexa (Hib),769
2021,PORTO ALEGRE DO NORTE,MenACWY,7
2021,PORTO ALEGRE DO NORTE,MenC,2
2021,RONDONOPOLIS,Hib,9211
2021,RONDONOPOLIS,Meningocócica (outra),7675
2021,RONDONOPOLIS,Penta/Hexa (Hib),4569
2021,RONDONOPOLIS,MenC,49
2021,RONDONOPOLIS,MenACWY,26
2021,SAO FELIX DO ARAGUAIA,Hib,559
2021,SAO FELIX DO ARAGUAIA,Meningocócica (outra),509
2021,SAO FELIX DO ARAGUAIA,Penta/Hexa (Hib),268
2021,SAO FELIX DO ARAGUAIA,MenACWY,5
2021,SAO FELIX DO ARAGUAIA,MenC,2
2021,SINOP,Hib,14338
2021,SINOP,Meningocócica (outra),9018
2021,SINOP,Penta/Hexa (Hib),6159
2021,SINOP,MenC,50
2021,SINOP,MenACWY,15
2021,Sem regional,Penta/Hexa (Hib),24
2021,Sem regional,Meningocócica (outra),22
2021,Sem regional,Hib,10
2021,TANGARA DA SERRA,Hib,6786
2021,TANGARA DA SERRA,Meningocócica (outra),3779
2021,TANGARA DA SERRA,Penta/Hexa (Hib),2395
2021,TANGARA DA SERRA,MenACWY,18
2021,TANGARA DA SERRA,MenC,2
