ano_dose_v34,codigo_municipio_v34,municipio_v34,regional_v34,imuno_grupo_v34,faixa_risco_v34,n_doses
2025,510025,,ALTA FLORESTA,Meningocócica (outra),Ignorado,1821
2025,510180,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,1764
2025,510335,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,1632
2025,510267,,RONDONOPOLIS,Meningocócica (outra),Ignorado,1503
2025,510263,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,1495
2025,510515,,JUINA,Meningocócica (outra),Ignorado,1420
2025,510642,,PEIXOTO DE AZEVEDO,Meningocócica (outra),Ignorado,1284
2025,510510,,JUARA,Meningocócica (outra),Ignorado,1210
2025,510706,,AGUA BOA,Meningocócica (outra),Ignorado,1200
2025,510410,,PEIXOTO DE AZEVEDO,Meningocócica (outra),Ignorado,1198
2025,510320,,COLIDER,Meningocócica (outra),Ignorado,1101
2025,510787,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,1086
2025,510020,,AGUA BOA,Meningocócica (outra),Ignorado,1014
2025,510170,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,995
2025,510650,,CUIABA,Meningocócica (outra),Ignorado,976
2025,510140,,JUINA,Meningocócica (outra),Ignorado,947
2025,510270,,AGUA BOA,Meningocócica (outra),Ignorado,904
2025,510560,,PEIXOTO DE AZEVEDO,Meningocócica (outra),Ignorado,900
2025,510325,,JUINA,Meningocócica (outra),Ignorado,860
2025,510630,,RONDONOPOLIS,Meningocócica (outra),Ignorado,835
2025,510480,,RONDONOPOLIS,Meningocócica (outra),Ignorado,828
2025,510562,,CACERES,Meningocócica (outra),Ignorado,810
2025,510350,,DIAMANTINO,Meningocócica (outra),Ignorado,794
2025,510625,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,710
2025,510260,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,686
2025,510190,,JUINA,Meningocócica (outra),Ignorado,684
2025,510860,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,666
2025,510300,,CUIABA,Meningocócica (outra),Ignorado,583
2025,510623,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,545
2025,510330,,PONTES E LACERDA,Meningocócica (outra),Ignorado,541
2025,510637,,RONDONOPOLIS,Meningocócica (outra),Ignorado,536
2025,510590,,DIAMANTINO,Meningocócica (outra),Ignorado,532
2025,510800,,SINOP,Meningocócica (outra),Ignorado,530
2025,510730,,DIAMANTINO,Meningocócica (outra),Ignorado,520
2025,510558,,COLIDER,Meningocócica (outra),Ignorado,489
2025,510125,,CACERES,Meningocócica (outra),Ignorado,488
2025,510621,,COLIDER,Meningocócica (outra),Ignorado,424
2025,510517,,JUINA,Meningocócica (outra),Ignorado,404
2025,510615,,ALTA FLORESTA,Meningocócica (outra),Ignorado,398
2025,510040,,RONDONOPOLIS,Meningocócica (outra),Ignorado,387
2025,510710,,CACERES,Meningocócica (outra),Ignorado,386
2025,510770,,DIAMANTINO,Meningocócica (outra),Ignorado,371
2025,510030,,RONDONOPOLIS,Meningocócica (outra),Ignorado,370
2025,510700,,RONDONOPOLIS,Meningocócica (outra),Ignorado,364
2025,510677,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,359
2025,510682,,CACERES,Meningocócica (outra),Ignorado,354
2025,510130,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,352
2025,510629,,ALTA FLORESTA,Meningocócica (outra),Ignorado,351
2025,510305,,SINOP,Meningocócica (outra),Ignorado,350
2025,510794,,JUARA,Meningocócica (outra),Ignorado,349
2025,510385,,AGUA BOA,Meningocócica (outra),Ignorado,347
2025,510624,,SINOP,Meningocócica (outra),Ignorado,336
2025,510337,,JUINA,Meningocócica (outra),Ignorado,327
2025,510452,,SINOP,Meningocócica (outra),Ignorado,326
2025,510370,,SINOP,Meningocócica (outra),Ignorado,320
2025,510460,,RONDONOPOLIS,Meningocócica (outra),Ignorado,314
2025,510780,,CUIABA,Meningocócica (outra),Ignorado,308
2025,510550,,PONTES E LACERDA,Meningocócica (outra),Ignorado,307
2025,510805,,PEIXOTO DE AZEVEDO,Meningocócica (outra),Ignorado,303
2025,510850,,SINOP,Meningocócica (outra),Ignorado,303
2025,510718,,AGUA BOA,Meningocócica (outra),Ignorado,302
2025,510268,,PONTES E LACERDA,Meningocócica (outra),Ignorado,295
2025,510617,,AGUA BOA,Meningocócica (outra),Ignorado,295
2025,510895,,ALTA FLORESTA,Meningocócica (outra),Ignorado,289
2025,510735,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,286
2025,510785,,SAO FELIX DO ARAGUAIA,Meningocócica (outra),Ignorado,280
2025,510080,,ALTA FLORESTA,Meningocócica (outra),Ignorado,279
2025,510520,,RONDONOPOLIS,Meningocócica (outra),Ignorado,278
2025,510060,,RONDONOPOLIS,Meningocócica (outra),Ignorado,274
2025,510279,,ALTA FLORESTA,Meningocócica (outra),Ignorado,272
2025,510185,,AGUA BOA,Meningocócica (outra),Ignorado,261
2025,510050,,DIAMANTINO,Meningocócica (outra),Ignorado,257
2025,510618,,PONTES E LACERDA,Meningocócica (outra),Ignorado,249
2025,510777,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,239
2025,510610,,CUIABA,Meningocócica (outra),Ignorado,229
2025,510626,,PEIXOTO DE AZEVEDO,Meningocócica (outra),Ignorado,224
2025,510454,,SINOP,Meningocócica (outra),Ignorado,221
2025,510500,,PONTES E LACERDA,Meningocócica (outra),Ignorado,220
2025,510680,,JUARA,Meningocócica (outra),Ignorado,216
2025,510724,,SINOP,Meningocócica (outra),Ignorado,208
2025,510628,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,201
2025,510455,,COLIDER,Meningocócica (outra),Ignorado,195
2025,510343,,CACERES,Meningocócica (outra),Ignorado,193
2025,510345,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,182
2025,510285,,JUINA,Meningocócica (outra),Ignorado,179
2025,510035,,SAO FELIX DO ARAGUAIA,Meningocócica (outra),Ignorado,178
2025,510600,,DIAMANTINO,Meningocócica (outra),Ignorado,177
2025,510665,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,175
2025,510420,,RONDONOPOLIS,Meningocócica (outra),Ignorado,172
2025,510890,,DIAMANTINO,Meningocócica (outra),Ignorado,170
2025,510310,,AGUA BOA,Meningocócica (outra),Ignorado,169
2025,510490,,CUIABA,Meningocócica (outra),Ignorado,160
2025,510619,,COLIDER,Meningocócica (outra),Ignorado,157
2025,510390,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,153
2025,510523,,CACERES,Meningocócica (outra),Ignorado,148
2025,510360,,RONDONOPOLIS,Meningocócica (outra),Ignorado,147
2025,510269,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,143
2025,510880,,COLIDER,Meningocócica (outra),Ignorado,143
2025,510779,,RONDONOPOLIS,Meningocócica (outra),Ignorado,142
2025,510160,,CUIABA,Meningocócica (outra),Ignorado,140
2025,510336,,PONTES E LACERDA,Meningocócica (outra),Ignorado,139
2025,510010,,CUIABA,Meningocócica (outra),Ignorado,137
2025,510720,,CACERES,Meningocócica (outra),Ignorado,133
2025,510645,,CUIABA,Meningocócica (outra),Ignorado,122
2025,510627,,JUARA,Meningocócica (outra),Ignorado,118
2025,510774,,PORTO ALEGRE DO NORTE,Meningocócica (outra),Ignorado,110
2025,510830,,SINOP,Meningocócica (outra),Ignorado,110
2025,510775,,CACERES,Meningocócica (outra),Ignorado,106
2025,510380,,PONTES E LACERDA,Meningocócica (outra),Ignorado,97
2025,510620,,CUIABA,Meningocócica (outra),Ignorado,95
2025,510885,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,93
2025,510726,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,91
2025,510835,,PONTES E LACERDA,Meningocócica (outra),Ignorado,90
2025,510100,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,88
2025,510719,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,86
2025,510740,,RONDONOPOLIS,Meningocócica (outra),Ignorado,80
2025,510450,,CACERES,Meningocócica (outra),Ignorado,75
2025,510776,,SINOP,Meningocócica (outra),Ignorado,75
2025,510715,,CACERES,Meningocócica (outra),Ignorado,68
2025,510820,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,68
2025,510395,,CACERES,Meningocócica (outra),Ignorado,63
2025,510685,,TANGARA DA SERRA,Meningocócica (outra),Ignorado,58
2025,510757,,Sem regional,Meningocócica (outra),Ignorado,58
2025,510788,,SAO FELIX DO ARAGUAIA,Meningocócica (outra),Ignorado,55
2025,510530,,SAO FELIX DO ARAGUAIA,Meningocócica (outra),Ignorado,51
2025,510631,,SAO FELIX DO ARAGUAIA,Meningocócica (outra),Ignorado,50
2025,510810,,RONDONOPOLIS,Meningocócica (outra),Ignorado,45
2025,510729,,RONDONOPOLIS,Meningocócica (outra),Ignorado,43
2025,510670,,BARRA DO GARCAS,Meningocócica (outra),Ignorado,31
