escopo,recorte,casos_total,com_lead_time,notificacao_le_1d_n,pct_notificacao_le_1d,p50_deteccao_dias,p90_deteccao_dias
REGIONAL_CLASSIFICACAO,CUIABA | Meningite bacteriana/outras bactérias,191,188,63,33.51063829787234,2.0,12.0
REGIONAL_CLASSIFICACAO,CUIABA | Meningite fúngica,77,76,11,14.473684210526317,10.0,69.5
REGIONAL_CLASSIFICACAO,CUIABA | Meningite não especificada,439,438,156,35.61643835616438,2.0,10.0
REGIONAL_CLASSIFICACAO,CUIABA | Meningite pneumocócica,64,63,20,31.746031746031743,3.0,7.0
REGIONAL_CLASSIFICACAO,CUIABA | Meningite por Hib/Hemófilo,12,12,3,25.0,6.0,28.000000000000007
REGIONAL_CLASSIFICACAO,CUIABA | Meningite tuberculosa,22,21,1,4.761904761904762,31.0,142.0
REGIONAL_CLASSIFICACAO,CUIABA | Meningite viral/asséptica,291,291,96,32.98969072164948,3.0,10.0
REGIONAL_CLASSIFICACAO,CUIABA | Outras etiologias,1117,1114,366,32.85457809694793,3.0,13.0
REGIONAL_CLASSIFICACAO,DIAMANTINO | Doença meningocócica,4,4,1,25.0,2.5,4.4
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite bacteriana/outras bactérias,10,10,3,30.0,2.5,7.89999999999999
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite fúngica,3,3,1,33.33333333333333,11.0,19.0
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite não especificada,23,23,3,13.043478260869565,4.0,11.8
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite pneumocócica,1,1,0,0.0,2.0,2.0
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite por Hib/Hemófilo,1,1,0,0.0,16.0,16.0
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite tuberculosa,2,2,1,50.0,3.0,5.4
REGIONAL_CLASSIFICACAO,DIAMANTINO | Meningite viral/asséptica,9,9,0,0.0,6.0,14.2
REGIONAL_CLASSIFICACAO,DIAMANTINO | Outras etiologias,52,51,14,27.450980392156865,4.0,21.0
REGIONAL_CLASSIFICACAO,JUARA | Doença meningocócica,3,3,0,0.0,2.0,2.0
REGIONAL_CLASSIFICACAO,JUARA | Meningite bacteriana/outras bactérias,4,4,3,75.0,1.0,3.1000000000000005
REGIONAL_CLASSIFICACAO,JUARA | Meningite fúngica,2,2,1,50.0,2.5,4.5
REGIONAL_CLASSIFICACAO,JUARA | Meningite não especificada,7,7,1,14.285714285714285,5.0,12.400000000000002
REGIONAL_CLASSIFICACAO,JUARA | Meningite pneumocócica,4,4,0,0.0,4.5,8.100000000000001
REGIONAL_CLASSIFICACAO,JUARA | Meningite tuberculosa,1,1,0,0.0,7.0,7.0
REGIONAL_CLASSIFICACAO,JUARA | Meningite viral/asséptica,3,3,0,0.0,5.0,7.4
REGIONAL_CLASSIFICACAO,JUARA | Outras etiologias,45,44,12,27.27272727272727,3.0,9.0
REGIONAL_CLASSIFICACAO,JUINA | Doença meningocócica,6,6,1,16.666666666666664,6.0,19.5
REGIONAL_CLASSIFICACAO,JUINA | Meningite bacteriana/outras bactérias,4,4,0,0.0,3.0,4.7
REGIONAL_CLASSIFICACAO,JUINA | Meningite fúngica,3,3,0,0.0,34.0,49.2
REGIONAL_CLASSIFICACAO,JUINA | Meningite não especificada,15,15,3,20.0,4.0,11.999999999999998
REGIONAL_CLASSIFICACAO,JUINA | Meningite pneumocócica,7,7,5,71.42857142857143,1.0,7.000000000000002
REGIONAL_CLASSIFICACAO,JUINA | Meningite tuberculosa,1,1,0,0.0,22.0,22.0
REGIONAL_CLASSIFICACAO,JUINA | Meningite viral/asséptica,5,5,0,0.0,10.0,27.6
REGIONAL_CLASSIFICACAO,JUINA | Outras etiologias,54,54,12,22.22222222222222,4.0,14.400000000000006
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Doença meningocócica,4,4,2,50.0,7.0,13.7
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite bacteriana/outras bactérias,9,9,1,11.11111111111111,3.0,6.4
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite fúngica,6,6,0,0.0,13.0,20.0
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite não especificada,24,24,8,33.33333333333333,3.0,32.19999999999998
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite pneumocócica,5,5,4,80.0,1.0,1.6
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite tuberculosa,1,1,0,0.0,4.0,4.0
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Meningite viral/asséptica,5,5,1,20.0,2.0,6.4
REGIONAL_CLASSIFICACAO,PEIXOTO DE AZEVEDO | Outras etiologias,88,88,33,37.5,3.0,10.599999999999994
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Doença meningocócica,3,3,1,33.33333333333333,2.0,5.2
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Meningite bacteriana/outras bactérias,27,27,3,11.11111111111111,4.0,12.800000000000004
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Meningite não especificada,39,39,5,12.82051282051282,5.0,14.600000000000009
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Meningite pneumocócica,1,1,0,0.0,35.0,35.0
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Meningite tuberculosa,2,2,0,0.0,31.0,39.0
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Meningite viral/asséptica,35,34,8,23.52941176470588,4.0,13.499999999999996
REGIONAL_CLASSIFICACAO,PONTES E LACERDA | Outras etiologias,55,55,17,30.909090909090907,3.0,26.200000000000003
