Cód.IBGE_6,Cód.IBGE_7,UF,Município,2020,2021,2022,2023,2024,2025
150410,1504109,PA,Magalhães Barata,8'573,8'598,8'115,8'414,8'428,8'439
150420,1504208,PA,Marabá,283'542,287'664,266'533,286'445,288'513,290'975
150430,1504307,PA,Maracanã,29'516,29'559,25'971,27'417,27'207,27'129
150440,1504406,PA,Marapanim,28'450,28'563,26'573,28'092,28'105,28'159
150442,1504422,PA,Marituba,133'685,135'812,111'785,118'804,118'998,119'437
150445,1504455,PA,Medicilândia,31'975,32'347,27'094,28'691,28'633,28'677
150450,1504505,PA,Melgaço,27'890,28'121,27'881,29'561,29'846,30'080
150460,1504604,PA,Mocajuba,31'530,31'917,27'198,28'802,28'821,28'903
150470,1504703,PA,Moju,83'182,84'251,84'094,89'474,90'795,91'760
150475,1504752,PA,Mojuí dos Campos,16'184,16'282,23'501,24'471,25'312,25'818
150480,1504802,PA,Monte Alegre,58'162,58'289,60'012,63'302,63'641,64'002
150490,1504901,PA,Muaná,40'906,41'454,45'368,47'910,48'955,49'648
150495,1504950,PA,Nova Esperança do Piriá,21'444,21'519,20'478,21'274,21'259,21'304
150497,1504976,PA,Nova Ipixuna,16'854,17'027,13'955,14'541,14'417,14'400
150500,1505007,PA,Nova Timboteua,15'506,15'646,12'806,13'290,13'204,13'175
150503,1505031,PA,Novo Progresso,25'766,25'769,33'638,35'621,36'518,37'054
150506,1505064,PA,Novo Repartimento,77'214,78'488,60'732,64'191,63'754,63'796
150510,1505106,PA,Óbidos,52'306,52'473,52'229,55'106,55'271,55'527
150520,1505205,PA,Oeiras do Pará,32'850,33'182,33'844,35'910,36'377,36'734
150530,1505304,PA,Oriximiná,74'016,74'921,68'294,72'097,72'460,72'889
150540,1505403,PA,Ourém,17'961,18'079,17'855,18'579,18'675,18'783
150543,1505437,PA,Ourilândia do Norte,33'335,33'831,32'467,34'538,34'905,35'252
150548,1505486,PA,Pacajá,48'414,49'110,41'097,43'665,43'594,43'741
150549,1505494,PA,Palestina do Pará,7'582,7'575,6'885,7'153,7'086,7'063
150550,1505502,PA,Paragominas,114'503,115'838,105'550,112'299,112'843,113'498
150553,1505536,PA,Parauapebas,213'576,218'787,267'836,286'345,298'854,305'771
150555,1505551,PA,Pau D'Arco,5'410,5'339,6'931,7'231,7'296,7'354
150560,1505601,PA,Peixe-Boi,8'081,8'084,8'285,8'641,8'651,8'686
150563,1505635,PA,Piçarra,12'979,12'976,12'832,13'376,13'341,13'366
150565,1505650,PA,Placas,31'659,32'325,18'668,19'137,18'772,18'510
150570,1505700,PA,Ponta de Pedras,31'549,32'007,24'984,25'902,25'767,25'736
150580,1505809,PA,Portel,62'945,63'831,62'503,65'959,66'898,67'580
150590,1505908,PA,Porto de Moz,41'801,42'456,40'597,43'111,43'673,44'121
150600,1506005,PA,Prainha,29'846,29'827,35'577,37'717,38'318,38'733
150610,1506104,PA,Primavera,10'857,10'889,10'851,11'290,11'332,11'379
150611,1506112,PA,Quatipuru,13'702,13'794,11'524,11'953,11'870,11'838
150613,1506138,PA,Redenção,85'563,86'326,85'597,91'171,91'947,92'694
150616,1506161,PA,Rio Maria,18'201,18'208,18'384,19'148,19'129,19'190
150618,1506187,PA,Rondon do Pará,52'803,53'242,53'143,56'339,56'593,57'031
150619,1506195,PA,Rurópolis,51'500,52'473,35'769,37'787,37'360,37'198
150620,1506203,PA,Salinópolis,40'922,41'164,44'772,47'506,48'168,48'663
150630,1506302,PA,Salvaterra,24'075,24'392,24'129,25'105,25'441,25'687
150635,1506351,PA,Santa Bárbara do Pará,21'449,21'811,21'087,21'993,22'288,22'530
150640,1506401,PA,Santa Cruz do Arari,10'314,10'496,7'445,7'699,7'654,7'626
150650,1506500,PA,Santa Izabel do Pará,71'837,72'856,73'019,77'255,78'317,79'195
150655,1506559,PA,Santa Luzia do Pará,19'843,19'839,20'370,21'189,21'217,21'295
150658,1506583,PA,Santa Maria das Barreiras,21'850,22'244,16'548,17'178,17'079,17'065
150660,1506609,PA,Santa Maria do Pará,24'995,25'127,24'624,25'594,25'696,25'815
150670,1506708,PA,Santana do Araguaia,74'419,75'995,32'413,33'171,31'683,30'455
150680,1506807,PA,Santarém,306'480,308'339,331'942,352'581,357'311,360'871
150690,1506906,PA,Santarém Novo,6'753,6'796,6'116,6'342,6'348,6'355
150700,1507003,PA,Santo Antônio do Tauá,31'918,32'346,27'461,29'096,29'134,29'234
150710,1507102,PA,São Caetano de Odivelas,18'129,18'207,16'666,17'282,17'248,17'258
150715,1507151,PA,São Domingos do Araguaia,25'753,25'945,21'092,21'926,21'638,21'555
150720,1507201,PA,São Domingos do Capim,32'139,32'285,30'599,32'472,32'449,32'554
150730,1507300,PA,São Félix do Xingu,132'138,135'732,65'418,68'179,65'957,64'651
150740,1507409,PA,São Francisco do Pará,15'930,15'978,14'894,15'467,15'418,15'429
150745,1507458,PA,São Geraldo do Araguaia,24'705,24'566,24'255,25'220,24'978,24'929
150746,1507466,PA,São João da Ponta,6'217,6'294,4'430,4'548,4'509,4'470
150747,1507474,PA,São João de Pirabas,23'244,23'440,20'689,21'469,21'447,21'477
150750,1507508,PA,São João do Araguaia,14'051,14'105,13'664,14'278,14'246,14'293
150760,1507607,PA,São Miguel do Guamá,59'632,60'268,52'894,55'747,55'798,55'970
150770,1507706,PA,São Sebastião da Boa Vista,26'974,27'302,25'643,27'171,27'441,27'651
150775,1507755,PA,Sapucaia,6'009,6'088,5'847,6'077,6'160,6'212
150780,1507805,PA,Senador José Porfírio,11'480,11'305,22'576,23'428,24'441,24'989
150790,1507904,PA,Soure,25'565,25'752,24'204,25'149,25'218,25'315
150795,1507953,PA,Tailândia,108'969,111'554,72'493,76'033,75'526,75'290
150796,1507961,PA,Terra Alta,11'847,11'971,10'400,10'816,10'815,10'837
150797,1507979,PA,Terra Santa,18'917,19'063,18'782,19'508,19'667,19'792
150800,1508001,PA,Tomé-Açu,64'030,64'604,67'585,71'307,72'326,73'058
150803,1508035,PA,Tracuateua,31'257,31'549,28'595,30'329,30'373,30'494
150805,1508050,PA,Trairão,19'168,19'344,15'242,15'748,15'619,15'550
150808,1508084,PA,Tucumã,40'136,40'661,39'550,42'000,42'480,42'883
150810,1508100,PA,Tucuruí,115'144,116'605,91'306,97'217,96'238,96'119
150812,1508126,PA,Ulianópolis,60'761,62'286,37'972,40'040,39'576,39'360
150815,1508159,PA,Uruará,45'435,45'395,43'558,46'140,45'939,45'962
